3.004	1994	2.8279752659574466	3.2023566489361706	94	YEAR
2.948	1966	2.774156849315068	3.1372811643835616	73	YEAR
2.967	1975	2.7691787790697675	3.1832171511627907	86	YEAR
3.155	1999	2.9962325520833333	3.31857890625	96	YEAR
3.214	1997	3.036258791208791	3.3820942307692303	91	YEAR
3.531	2001	3.369069444444444	3.672271212121212	99	YEAR
3.600	2005	3.467451	3.7305119999999996	100	YEAR
3.717	2019	3.582690909090909	3.856718434343434	99	YEAR
3.646	2017	3.50279	3.78161875	100	YEAR
3.717	2024	3.5778805	3.8601757500000007	100	YEAR
3.592	2018	3.438231750000001	3.7363705	100	YEAR
3.830	2020	3.6812437499999997	3.9679439999999992	100	YEAR
3.824	2021	3.7001245000000003	3.9360274999999993	100	YEAR
3.433	2013	3.2572125	3.5943424999999998	100	YEAR
3.457	2012	3.2890780000000004	3.6209134999999995	100	YEAR
3.165	1995	2.9899410112359552	3.343343820224719	89	YEAR
3.226	1998	3.0686950000000004	3.381486111111111	90	YEAR
3.300	1996	3.129607368421053	3.4723857894736843	95	YEAR
3.094	1993	2.908972256097561	3.3150878048780488	82	YEAR
3.675	2003	3.522769	3.8339450000000004	100	YEAR
2.887	1982	2.7442713157894736	3.0296936842105264	95	YEAR
2.891	1989	2.730906534090909	3.060668181818182	88	YEAR
3.663	2004	3.5212912500000004	3.8128077500000006	100	YEAR
3.524	2008	3.3913176767676774	3.663232323232323	99	YEAR
3.208	2000	3.062529292929293	3.3724381313131317	99	YEAR
3.616	2009	3.467617	3.7475424999999998	100	YEAR
3.522	2010	3.384621	3.65784075	100	YEAR
3.599	2007	3.460922959183673	3.745032142857143	98	YEAR
3.442	2014	3.2633469696969697	3.607409343434343	99	YEAR
2.749	1969	2.559817803030303	2.9479469696969693	66	YEAR
2.980	1972	2.771768666666666	3.190767666666667	75	YEAR
3.017	1971	2.8199036184210526	3.21616447368421	76	YEAR
2.957	1968	2.765517142857143	3.1575289285714283	70	YEAR
2.800	1967	2.643931097560976	2.9792612804878047	82	YEAR
3.516	2002	3.3506304999999994	3.6776747499999995	100	YEAR
2.790	1991	2.6293463855421697	2.968252108433735	83	YEAR
2.935	1977	2.736038311688312	3.1442577922077923	77	YEAR
2.881	1978	2.7138866666666663	3.0447627777777777	90	YEAR
2.856	1981	2.7060841666666664	3.0158472222222223	90	YEAR
2.890	1974	2.705115740740741	3.0868052469135807	81	YEAR
2.943	1985	2.790870052083333	3.1092338541666664	96	YEAR
2.868	1987	2.7164752747252745	3.020197252747252	91	YEAR
2.918	1979	2.7435957831325304	3.110583734939759	83	YEAR
2.964	1983	2.8001966494845356	3.1201149484536077	97	YEAR
3.662	2022	3.53038	3.7931404999999994	100	YEAR
3.509	2015	3.36442325	3.6598007500000005	100	YEAR
3.539	2016	3.385922999999999	3.6720412499999995	100	YEAR
3.634	2011	3.4831225	3.774099750000001	100	YEAR
2.805	1988	2.655281770833333	2.9661466145833333	96	YEAR
2.721	1976	2.5478777439024394	2.897203658536585	82	YEAR
2.982	1990	2.8240014880952384	3.1573297619047613	84	YEAR
2.785	1980	2.6203428191489357	2.9519380319148936	94	YEAR
3.563	2006	3.418231313131313	3.69742601010101	99	YEAR
3.173	1973	2.9702101190476187	3.3671812500000002	84	YEAR
2.915	1992	2.7593228021978025	3.07008543956044	91	YEAR
2.598	1964	2.3892411538461533	2.824858846153846	65	YEAR
2.886	1963	2.6610466981132084	3.1241047169811327	53	YEAR
2.577	1960	2.3884269230769233	2.7990519230769233	52	YEAR
2.618	1965	2.460776041666667	2.7868979166666668	72	YEAR
2.768	1986	2.633084615384615	2.915135164835165	91	YEAR
2.799	1970	2.5864749999999996	3.0061984374999997	64	YEAR
3.749	2023	3.6102164999999995	3.894921	100	YEAR
2.851	1984	2.711822252747253	2.9943673076923076	91	YEAR
2.794	1962	2.5558321428571427	3.0321010204081635	49	YEAR
2.785	1961	2.565991836734694	3.0207423469387744	49	YEAR
